Serving HTTP on 0.0.0.0 port 8050 (http://0.0.0.0:8050/) ...
127.0.0.1 - - [29/Nov/2025 13:02:29] code 404, message File not found
127.0.0.1 - - [29/Nov/2025 13:02:29] "GET /favicon.ico?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 404 -
127.0.0.1 - - [29/Nov/2025 13:02:36] code 404, message File not found
127.0.0.1 - - [29/Nov/2025 13:02:36] "GET /terms.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 404 -
127.0.0.1 - - [29/Nov/2025 13:14:03] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:14:21] "GET /?_gl=1*gqoknz*_gcl_au*MTIzMTI5NTEuMTc2NDQxOTE5Ng..*_ga*MzI3ODU5NzUwLjE3NjQ0MTkxOTU.*_ga_8NW18Q4WF2*czE3NjQ0MTkxOTUkbzEkZzEkdDE3NjQ0MjEwNjkkajU5JGwwJGgxOTc1NjEwODM5&password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:14:25] "GET /css/style.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:14:25] "GET /images/logo.svg?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:14:26] "GET /js/script.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:14:26] "GET /js/setup-demo-data.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:14:26] "GET /images/logo.png?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:15:24] "GET /admin-dashboard.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:15:24] "GET /css/style.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:15:24] "GET /js/admin-dashboard.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:15:24] "GET /js/setup-demo-data.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:17:24] "GET /index.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:17:24] "GET /images/logo.svg?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:17:24] "GET /css/style.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:17:25] "GET /js/script.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:17:25] "GET /js/setup-demo-data.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:17:27] "GET /images/logo.png?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:20:47] "GET /farmer-dashboard.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:20:48] "GET /css/style.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:20:49] "GET /js/farmer-dashboard.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:20:49] "GET /js/setup-demo-data.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:22:45] "GET /index.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:22:46] "GET /css/style.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:22:46] "GET /images/logo.svg?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:22:47] "GET /js/script.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:22:47] "GET /js/setup-demo-data.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:22:47] "GET /images/logo.png?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:26:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:26:54] "GET /?_gl=1*14ot5qt*_gcl_au*MTIzMTI5NTEuMTc2NDQxOTE5Ng..*_ga*MzI3ODU5NzUwLjE3NjQ0MTkxOTU.*_ga_8NW18Q4WF2*czE3NjQ0MTkxOTUkbzEkZzEkdDE3NjQ0MjEwNjkkajU5JGwwJGgxOTc1NjEwODM5&password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:26:57] "GET /css/enhanced-colors.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:26:58] "GET /css/style.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:26:59] "GET /images/logo.svg?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:26:59] "GET /js/setup-demo-data.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:26:59] "GET /js/script.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:27:02] "GET /images/logo.png?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:27:55] "GET /admin-dashboard.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:27:59] "GET /js/admin-dashboard.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:27:59] "GET /js/setup-demo-data.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:28:54] "GET /index.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:28:54] "GET /images/logo.svg?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:28:54] "GET /css/enhanced-colors.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:28:55] "GET /js/script.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:28:55] "GET /js/setup-demo-data.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:28:55] "GET /css/style.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:30:49] "GET /admin-dashboard.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:30:50] "GET /css/style.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:30:50] "GET /js/setup-demo-data.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:32:26] "GET /index.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:32:27] "GET /css/enhanced-colors.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:32:27] "GET /images/logo.svg?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:32:27] "GET /js/script.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:32:28] "GET /js/setup-demo-data.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:32:28] "GET /images/logo.png?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:42:02] "GET /?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:42:06] "GET /css/enhanced-colors.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:42:06] "GET /images/logo.svg?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:42:06] "GET /css/style.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:42:07] "GET /js/setup-demo-data.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:42:07] "GET /js/script.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:42:07] "GET /images/logo.png?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:42:18] "GET /farmer-dashboard.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:42:19] "GET /js/farmer-dashboard.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:43:24] "GET /index.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:46:43] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:47:13] "GET /?_gl=1*qvv6yt*_gcl_au*MTIzMTI5NTEuMTc2NDQxOTE5Ng..*_ga*MzI3ODU5NzUwLjE3NjQ0MTkxOTU.*_ga_8NW18Q4WF2*czE3NjQ0MTkxOTUkbzEkZzEkdDE3NjQ0MjM3MjYkajE1JGwwJGgxOTc1NjEwODM5&password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:47:13] "GET /css/style.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:47:13] "GET /css/enhanced-colors.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:47:13] "GET /images/logo.svg?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:47:14] "GET /js/setup-demo-data.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:47:14] "GET /images/logo.png?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:47:15] "GET /js/script.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:48:43] "GET /admin-dashboard.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:48:44] "GET /css/enhanced-colors.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:48:44] "GET /css/animated-dashboard.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:48:45] "GET /js/admin-dashboard.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:49:27] "GET /index.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:49:28] "GET /css/enhanced-colors.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:49:29] "GET /js/script.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:49:29] "GET /js/setup-demo-data.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:52:12] "GET /product-detail.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:52:13] "GET /css/style.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:52:14] "GET /js/setup-demo-data.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:52:14] "GET /images/logo.png?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:52:14] "GET /js/product-detail.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:53:47] "GET /index.html?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:53:47] "GET /css/enhanced-colors.css?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:53:47] "GET /images/logo.svg?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
127.0.0.1 - - [29/Nov/2025 13:53:48] "GET /js/script.js?password=49239a98-7323-41a5-834d-45b7c535d85f HTTP/1.1" 200 -
